出現形	ICDコード	標準病名	しゅつげんけい	東大診療録頻度
ドライアイ	H041	ドライアイ	どらいあい	7684
腺腫様甲状腺腫	E049	腺腫様甲状腺腫	せんしゅようこうじょうせんしゅ	7681
原発性胆汁性肝硬変	K743	原発性胆汁性肝硬変	げんぱつせいたんじゅうせいかんこうへん	7630
房室ブロック	I443	房室ブロック	ぼうしつぶろっく	7626
上部消化管出血	K922	上部消化管出血	じょうぶしょうかかんしゅっけつ	7592
左室肥大	I517	左室肥大	さしつひだい	7588
ステロイド糖尿病	E13	ステロイド糖尿病	すてろいどとうにょうびょう	7585
悪性黒色腫	C439	悪性黒色腫	あくせいこくしょくしゅ	7584
滲出性中耳炎	H659	滲出性中耳炎	しんしゅつせいちゅうじえん	7535
甲状腺腫	E049	甲状腺腫	こうじょうせんしゅ	7516
脳性麻痺	G809	脳性麻痺	のうせいまひ	7478
痛風発作	M1099	痛風発作	つうふうほっさ	7476
自己免疫性肝炎	K754	自己免疫性肝炎	じこめんえきせいかんえん	7466
難治性てんかん	G408	難治性てんかん	なんちせいてんかん	7446
中毒疹	L279	中毒疹	ちゅうどくしん	7406
鼻閉	R448	鼻閉	びへい	7389
膿尿	N390	膿尿	のうにょう	7358
ループス腎炎	M321	ループス腎炎	るーぷすじんえん	7348
跛行	R262	跛行	はこう	7335
出血傾向	D699	出血傾向	しゅっけつけいこう	7326
高カリウム血症	E875	高カリウム血症	こうかりうむけっしょう	7323
眼瞼浮腫	H028	眼瞼浮腫	がんけんふしゅ	7318
知覚鈍麻	R201	知覚鈍麻	ちかくどんま	7302
陳旧性肺結核	B909	陳旧性肺結核	ちんきゅうせいはいけっかく	7301
急性上気道炎	J069	急性上気道炎	きゅうせいじょうきどうえん	7242
胸膜播種	C782	胸膜播種	きょうまくはしゅ	7222
大腿骨頭壊死	M8785	大腿骨頭壊死	だいたいこっとうえし	7215
音声障害	R498	音声障害	おんせいしょうがい	7188
下行結腸癌	C186	下行結腸癌	かこうけっちょうがん	7161
慢性糸球体腎炎	N039	慢性糸球体腎炎	まんせいしきゅうたいじんえん	7129
急性骨髄性白血病	C920	急性骨髄性白血病	きゅうせいこつずいせいはっけつびょう	7089
糖尿病網膜症	E143	糖尿病網膜症	とうにょうびょうもうまくしょう	7086
閉塞性換気障害	R942	閉塞性換気障害	へいそくせいかんきしょうがい	7048
川崎病	M303	川崎病	かわさきびょう	7043
強迫性障害	F429	強迫性障害	きょうはくせいしょうがい	7041
肝癌	C220	肝癌	かんがん	6983
正常圧水頭症	G912	正常圧水頭症	せいじょうあつすいとうしょう	6975
神経鞘腫	D361	神経鞘腫	しんけいしょうしゅ	6921
前立腺炎	N419	前立腺炎	ぜんりつせんえん	6904
腹腔内膿瘍	K650	腹腔内膿瘍	ふくくうないのうよう	6898
心房粗動	I48	心房粗動	しんぼうそどう	6883
未熟児貧血	P612	未熟児貧血	みじゅくじひんけつ	6875
末期腎不全	N180	末期腎不全	まっきじんふぜん	6854
小脳梗塞	I635	小脳梗塞	しょうのうこうそく	6839
冠動脈疾患	I251	冠動脈疾患	かんどうみゃくしっかん	6835
原発不明癌	C80	原発不明癌	げんぱつふめいがん	6832
未熟児網膜症	H351	未熟児網膜症	みじゅくじもうまくしょう	6808
膵石	K868	膵石	すいせき	6799
膜性腎症	N052	膜性腎症	まくせいじんしょう	6719
腹膜癌	C482	腹膜癌	ふくまくがん	6711
発熱性好中球減少症	D70	発熱性好中球減少症	はつねつせいこうちゅうきゅうげんしょうしょう	6710
気道閉塞	J988	気道閉塞	きどうへいそく	6698
好酸球性副鼻腔炎	J328	好酸球性副鼻腔炎	こうさんきゅうせいふくびくうえん	6672
僧帽弁閉鎖不全症	I340	僧帽弁閉鎖不全症	そうぼうべんへいさふぜんしょう	6670
慢性咳嗽	R05	慢性咳嗽	まんせいがいそう	6648
神経芽腫	C749	神経芽腫	しんけいがしゅ	6627
後鼻漏	J348	後鼻漏	こうびろう	6615
転移性脳腫瘍	C793	転移性脳腫瘍	てんいせいのうしゅよう	6601
低出生体重児	P071b	低出生体重児	ていしゅっせいたいじゅうじ	6597
肛門周囲膿瘍	K610	肛門周囲膿瘍	こうもんしゅういのうよう	6585
結節性紅斑	L52	結節性紅斑	けっせつせいこうはん	6578
心肺停止	I469	心肺停止	しんぱいていし	6545
胸腺腫	D150	胸腺腫	きょうせんしゅ	6540
腰椎椎間板ヘルニア	M512	腰椎椎間板ヘルニア	ようついついかんばんへるにあ	6520
甲状腺腫瘍	D440	甲状腺腫瘍	こうじょうせんしゅよう	6520
脂漏性皮膚炎	L219	脂漏性皮膚炎	しろうせいひふえん	6508
後出血	T810	後出血	こうしゅっけつ	6498
熱性痙攣	R560	熱性痙攣	ねっせいけいれん	6494
心筋症	I429	心筋症	しんきんしょう	6490
眼球運動障害	H519	眼球運動障害	がんきゅううんどうしょうがい	6470
胃ポリープ	K317	胃ポリープ	いぽりーぷ	6449
知的障害	F79	知的障害	ちてきしょうがい	6421
肺血栓塞栓症	I269	肺血栓塞栓症	はいけっせんそくせんしょう	6406
変形性腰椎症	M4786	変形性腰椎症	へんけいせいようついしょう	6400
自己免疫性膵炎	K861	自己免疫性膵炎	じこめんえきせいすいえん	6339
胸椎圧迫骨折	S2200	胸椎圧迫骨折	きょうついあっぱくこっせつ	6337
出血性ショック	R571	出血性ショック	しゅっけつせいしょっく	6296
胃粘膜下腫瘍	D371	胃粘膜下腫瘍	いねんまくかしゅよう	6269
褐色細胞腫	D350	褐色細胞腫	かっしょくさいぼうしゅ	6254
パニック発作	F410	パニック発作	ぱにっくほっさ	6254
胃底腺ポリープ	K317	胃底腺ポリープ	いていせんぽりーぷ	6186
不明熱	R509	不明熱	ふめいねつ	6182
縦隔炎	J985	縦隔炎	じゅうかくえん	6150
身体表現性障害	F459	身体表現性障害	しんたいひょうげんせいしょうがい	6137
帯状疱疹後神経痛	B022	帯状疱疹後神経痛	たいじょうほうしんごしんけいつう	6103
肝門部胆管癌	C240	肝門部胆管癌	かんもんぶたんかんがん	6085
慢性気管支炎	J42	慢性気管支炎	まんせいきかんしえん	6068
動脈管開存症	Q250	動脈管開存症	どうみゃくかんかいぞんしょう	6051
不安障害	F419	不安障害	ふあんしょうがい	6032
心肥大	I517	心肥大	しんひだい	5997
自律神経障害	G909	自律神経障害	じりつしんけいしょうがい	5956
偽痛風	M1129	偽痛風	ぎつうふう	5953
小球性低色素性貧血	D508	小球性低色素性貧血	しょうきゅうせいていしきそせいひんけつ	5927
脱水症	E86	脱水症	だっすいしょう	5920
肝腫瘤	K768	肝腫瘤	かんしゅりゅう	5906
胃静脈瘤	I864	胃静脈瘤	いじょうみゃくりゅう	5880
膝関節痛	M2556	膝関節痛	しつかんせつつう	5875
虚血性心筋症	I255	虚血性心筋症	きょけつせいしんきんしょう	5870
未破裂脳動脈瘤	I671	未破裂脳動脈瘤	みはれつのうどうみゃくりゅう	5851
視野欠損	H534	視野欠損	しやけっそん	5837
腎炎	N059	腎炎	じんえん	5836
膀胱痛	R398	膀胱痛	ぼうこうつう	5825
肝腫瘍	D376	肝腫瘍	かんしゅよう	5824
歯痛	K088	歯痛	しつう	5811
鱗屑	R234	鱗屑	りんせつ	5806
胸膜肥厚	J929	胸膜肥厚	きょうまくひこう	5787
自閉症	F840	自閉症	じへいしょう	5773
大腸腺腫	D126	大腸腺腫	だいちょうせんしゅ	5769
躁うつ病	F319	躁うつ病	そううつびょう	5755
痛風	M1099	痛風	つうふう	5729
心停止	I469	心停止	しんていし	5714
大動脈瘤	I719	大動脈瘤	だいどうみゃくりゅう	5706
肝腫大	R160	肝腫大	かんしゅだい	5672
水疱性類天疱瘡	L120	水疱性類天疱瘡	すいほうせいるいてんぽうそう	5663
染色体異常	Q999	染色体異常	せんしょくたいいじょう	5663
腎細胞癌	C64	腎細胞癌	じんさいぼうがん	5652
体液貯留	E877	体液貯留	たいえきちょりゅう	5644
間欠性跛行	I739	間欠性跛行	かんけつせいはこう	5641
脳炎	G049	脳炎	のうえん	5629
小球性貧血	D508	小球性貧血	しょうきゅうせいひんけつ	5613
嗅覚障害	R431	嗅覚障害	きゅうかくしょうがい	5607
前胸部痛	R072	前胸部痛	ぜんきょうぶつう	5606
白癬	B359	白癬	はくせん	5606
放散痛	R529	放散痛	ほうさんつう	5602
反回神経麻痺	G522	反回神経麻痺	はんかいしんけいまひ	5599
感染性腸炎	A09	感染性腸炎	かんせんせいちょうえん	5571
転移性肝癌	C787	転移性肝癌	てんいせいかんがん	5553
脊髄小脳変性症	G319	脊髄小脳変性症	せきずいしょうのうへんせいしょう	5540
慢性呼吸不全	J961	慢性呼吸不全	まんせいこきゅうふぜん	5535
チアノーゼ	R230	チアノーゼ	ちあのーぜ	5481
原発性副甲状腺機能亢進症	E210	原発性副甲状腺機能亢進症	げんぱつせいふくこうじょうせんきのうこうしんしょう	5447
多発性筋炎	M332	多発性筋炎	たはつせいきんえん	5432
硝子体出血	H431	硝子体出血	しょうしたいしゅっけつ	5415
短腸症候群	K918	短腸症候群	たんちょうしょうこうぐん	5400
運動麻痺	G839	運動麻痺	うんどうまひ	5399
静脈炎	I809	静脈炎	じょうみゃくえん	5397
先天性心疾患	Q249	先天性心疾患	せんてんせいしんしっかん	5362
臼蓋形成不全	Q658	臼蓋形成不全	きゅうがいけいせいふぜん	5361
多尿	R35	多尿	たにょう	5343
下肢リンパ浮腫	I890	下肢リンパ浮腫	かしりんぱふしゅ	5334
食道静脈瘤破裂	I850	食道静脈瘤破裂	しょくどうじょうみゃくりゅうはれつ	5306
胃食道逆流症	K219	胃食道逆流症	いしょくどうぎゃくりゅうしょう	5299
鼡径ヘルニア	K409	鼡径ヘルニア	そけいへるにあ	5298
マルファン症候群	Q874	マルファン症候群	まるふぁんしょうこうぐん	5282
小腸穿孔	K631	小腸穿孔	しょうちょうせんこう	5191
手指振戦	R251	手指振戦	しゅししんせん	5163
解離性障害	F449	解離性障害	かいりせいしょうがい	5159
頚部リンパ節腫脹	R590	頚部リンパ節腫脹	けいぶりんぱせつしゅちょう	5137
皮下結節	R229	皮下結節	ひかけっせつ	5109
脾梗塞	D735	脾梗塞	ひこうそく	5100
広汎性発達障害	F849	広汎性発達障害	こうはんせいはったつしょうがい	5094
境界型糖尿病	R730	境界型糖尿病	きょうかいがたとうにょうびょう	5078
滑膜炎	M6599	滑膜炎	かつまくえん	5048
痔瘻	K603	痔瘻	じろう	5020
易感染性	D899	易感染性	いかんせんせい	5019
下垂体腺腫	D352	下垂体腺腫	かすいたいせんしゅ	5017
出血性胃潰瘍	K254	出血性胃潰瘍	しゅっけつせいいかいよう	4981
膿疱	L089	膿疱	のうほう	4979
急性肝炎	K720	急性肝炎	きゅうせいかんえん	4976
下垂体腫瘍	D443	下垂体腫瘍	かすいたいしゅよう	4969
腹腔内出血	K661	腹腔内出血	ふくくうないしゅっけつ	4956
不完全右脚ブロック	I451	不完全右脚ブロック	ふかんぜんうきゃくぶろっく	4954
食道狭窄	K222	食道狭窄	しょくどうきょうさく	4952
アシドーシス	E872	アシドーシス	あしどーしす	4943
縦隔気腫	J982	縦隔気腫	じゅうかくきしゅ	4941
壊疽性膿皮症	L88	壊疽性膿皮症	えそせいのうひしょう	4940
三叉神経痛	G500	三叉神経痛	さんさしんけいつう	4912
接触皮膚炎	L259	接触皮膚炎	せっしょくひふえん	4912
急性硬膜下血腫	S065	急性硬膜下血腫	きゅうせいこうまくかけっしゅ	4901
偽膜性腸炎	A047	偽膜性腸炎	ぎまくせいちょうえん	4898
悪寒戦慄	R688	悪寒戦慄	おかんせんりつ	4897
膿疱性乾癬	L401	膿疱性乾癬	のうほうせいかんせん	4894
聴覚障害	H919	聴覚障害	ちょうかくしょうがい	4852
胃瘻	K316	胃瘻	いろう	4850
結膜炎	H109	結膜炎	けつまくえん	4849
熱傷	T300	熱傷	ねっしょう	4827
尿崩症	E232	尿崩症	にょうほうしょう	4804
自律神経失調症	G909	自律神経失調症	じりつしんけいしっちょうしょう	4800
下痢症	A09	下痢症	げりしょう	4779
中枢性尿崩症	E232	中枢性尿崩症	ちゅうすうせいにょうほうしょう	4776
脂質代謝異常	E789	脂質代謝異常	ししつたいしゃいじょう	4771
手掌紅斑	L538	手掌紅斑	しゅしょうこうはん	4769
膵腫瘍	D377	膵腫瘍	すいしゅよう	4748
特発性拡張型心筋症	I420	特発性拡張型心筋症	とくはつせいかくちょうがたしんきんしょう	4746
幻覚	R443	幻覚	げんかく	4746
癌性腹膜炎	C786	癌性腹膜炎	がんせいふくまくえん	4737
不全麻痺	G839	不全麻痺	ふぜんまひ	4711
尿毒症	N19	尿毒症	にょうどくしょう	4710
高カルシウム血症	E835	高カルシウム血症	こうかるしうむけっしょう	4677
食物アレルギー	T781	食物アレルギー	しょくもつあれるぎー	4628
扁桃炎	J039	扁桃炎	へんとうえん	4602
言語発達遅滞	F809	言語発達遅滞	げんごはったつちたい	4602
新生児一過性多呼吸	P221	新生児一過性多呼吸	しんせいじいっかせいたこきゅう	4601
副腎腫瘍	D441	副腎腫瘍	ふくじんしゅよう	4562
膵性糖尿病	E13	膵性糖尿病	すいせいとうにょうびょう	4544
過敏性腸症候群	K589	過敏性腸症候群	かびんせいちょうしょうこうぐん	4541
悪性症候群	G210	悪性症候群	あくせいしょうこうぐん	4510
疣贅	B07	疣贅	ゆうぜい	4500
限局性強皮症	L940	限局性強皮症	げんきょくせいきょうひしょう	4479
結節性多発動脈炎	M300	結節性多発動脈炎	けっせつせいたはつどうみゃくえん	4478
絞扼性イレウス	K562	絞扼性イレウス	こうやくせいいれうす	4460
早期食道癌	C159	早期食道癌	そうきしょくどうがん	4457
クローン病	K509	クローン病	くろーんびょう	4457
乏尿	R34	乏尿	ぼうにょう	4423
慢性閉塞性肺疾患	J449	慢性閉塞性肺疾患	まんせいへいそくせいはいしっかん	4411
膿胸	J869	膿胸	のうきょう	4410
咽頭炎	J029	咽頭炎	いんとうえん	4373
腸腰筋膿瘍	K650	腸腰筋膿瘍	ちょうようきんのうよう	4365
膵尾部癌	C252	膵尾部癌	すいびぶがん	4364
慢性湿疹	L309	慢性湿疹	まんせいしっしん	4349
癌性リンパ管症	C798	癌性リンパ管症	がんせいりんぱかんしょう	4338
びらん性胃炎	K296	びらん性胃炎	びらんせいいえん	4337
出血性膀胱炎	N309	出血性膀胱炎	しゅっけつせいぼうこうえん	4334
細菌性髄膜炎	G009	細菌性髄膜炎	さいきんせいずいまくえん	4330
食道炎	K20	食道炎	しょくどうえん	4322
呼吸停止	R092	呼吸停止	こきゅうていし	4320
喉頭浮腫	J384	喉頭浮腫	こうとうふしゅ	4319
縦隔リンパ節転移	C771	縦隔リンパ節転移	じゅうかくりんぱせつてんい	4311
めまい感	R42	めまい感	めまいかん	4305
慢性肝炎	K739	慢性肝炎	まんせいかんえん	4288
前期破水	O429	前期破水	ぜんきはすい	4287
